属性,数值,关联材料,条件,原文片段,段落来源,DOI,标题
Melting_Point,84.5 °C,PPZ-8,,singular endothermic peak in heating curve at 84.50 °C,"In particular, when each repeat unit of the PPZ corresponded to a lithium salt, as in PPZ-8, the CIPs were obviously dominant. This special state led to a singular endothermic peak in heating curve at",10.1038/s41467-023-40394-8,Non-flammable solvent-free liquid polymer electrolyte for lithium metal batterie
Anodic_Stability_Onset_Potential,5.2 V vs. Li/Li⁺,,90°C | linear sweep voltammetry | flat plate electrodes,wide electrochemical stability windows ESW of up to 5.20 V based on flat plate electrodes,The LPEs exhibited high electrochemical stabilities with wide electrochemical stability windows ESW of up to 5.20 V based on flat plate electrodes or 4.55 V based on graphite porous electrodes at 90 c,10.1038/s41467-023-40394-8,Non-flammable solvent-free liquid polymer electrolyte for lithium metal batterie
Anodic_Stability_Onset_Potential,4.55 V vs. Li/Li⁺,,90°C | linear sweep voltammetry | graphite porous electrodes,wide electrochemical stability windows ESW of up to ... 4.55 V based on graphite porous electrodes,The LPEs exhibited high electrochemical stabilities with wide electrochemical stability windows ESW of up to 5.20 V based on flat plate electrodes or 4.55 V based on graphite porous electrodes at 90 c,10.1038/s41467-023-40394-8,Non-flammable solvent-free liquid polymer electrolyte for lithium metal batterie
Electrochemical_Stability_Window,"{'min_V': -1.28, 'max_V': 5.94} V vs. Li/Li⁺",,density functional theory (DFT),"As the side chain became longer, the oxidation potential increased from 5.94 to 6.09 eV and the redu",The LPEs exhibited high electrochemical stabilities with wide electrochemical stability windows ESW of up to 5.20 V based on flat plate electrodes or 4.55 V based on graphite porous electrodes at 90 c,10.1038/s41467-023-40394-8,Non-flammable solvent-free liquid polymer electrolyte for lithium metal batterie
Electrochemical_Stability_Window,"{'min_V': -1.38, 'max_V': 6.09} V vs. Li/Li⁺",,density functional theory (DFT),"As the side chain became longer, the oxidation potential increased from 5.94 to 6.09 eV and the redu",The LPEs exhibited high electrochemical stabilities with wide electrochemical stability windows ESW of up to 5.20 V based on flat plate electrodes or 4.55 V based on graphite porous electrodes at 90 c,10.1038/s41467-023-40394-8,Non-flammable solvent-free liquid polymer electrolyte for lithium metal batterie
Ionic_Conductivity,0.109 mS/cm,PPZ-40,25°C | GF-PPZ-40 liquid polymer electrolyte | electrochemical impedance spectroscopy,GF- PPZ-40 exhibited the largest ionic conductivity of 0.109 mS cm-1 at 25 °C.,"Using electrochemical impedance spectroscopy EIS, the ionic conductivities σ of different LPEs were determined at various temperatures Supplementary Fig. 7 and Supplementary Table 4. GF- PPZ-40 exhibi",10.1038/s41467-023-40394-8,Non-flammable solvent-free liquid polymer electrolyte for lithium metal batterie
Ionic_Conductivity,0.158 mS/cm,PPZ-8,100°C | GF-PPZ-8 liquid polymer electrolyte | electrochemical impedance spectroscopy,"The σ values of GF-PPZ-8, GF-PPZ-24 and GF-PPZ-40 were 0.158, 1.27, and 0.93 mS cm-1, respectively.","Using electrochemical impedance spectroscopy EIS, the ionic conductivities σ of different LPEs were determined at various temperatures Supplementary Fig. 7 and Supplementary Table 4. GF- PPZ-40 exhibi",10.1038/s41467-023-40394-8,Non-flammable solvent-free liquid polymer electrolyte for lithium metal batterie
Ionic_Conductivity,2.01 mS/cm,PPZ-16,100°C | GF-PPZ-16 liquid polymer electrolyte | electrochemical impedance spectroscopy,"at 100 °C, the ionic conductivity of GF-PPZ-16 was the largest at approximately 2.01 mS cm-1","Using electrochemical impedance spectroscopy EIS, the ionic conductivities σ of different LPEs were determined at various temperatures Supplementary Fig. 7 and Supplementary Table 4. GF- PPZ-40 exhibi",10.1038/s41467-023-40394-8,Non-flammable solvent-free liquid polymer electrolyte for lithium metal batterie
Ionic_Conductivity,1.27 mS/cm,PPZ-24,100°C | GF-PPZ-24 liquid polymer electrolyte | electrochemical impedance spectroscopy,"The σ values of GF-PPZ-8, GF-PPZ-24 and GF-PPZ-40 were 0.158, 1.27, and 0.93 mS cm-1, respectively.","Using electrochemical impedance spectroscopy EIS, the ionic conductivities σ of different LPEs were determined at various temperatures Supplementary Fig. 7 and Supplementary Table 4. GF- PPZ-40 exhibi",10.1038/s41467-023-40394-8,Non-flammable solvent-free liquid polymer electrolyte for lithium metal batterie
Ionic_Conductivity,0.93 mS/cm,PPZ-40,100°C | GF-PPZ-40 liquid polymer electrolyte | electrochemical impedance spectroscopy,"The σ values of GF-PPZ-8, GF-PPZ-24 and GF-PPZ-40 were 0.158, 1.27, and 0.93 mS cm-1, respectively.","Using electrochemical impedance spectroscopy EIS, the ionic conductivities σ of different LPEs were determined at various temperatures Supplementary Fig. 7 and Supplementary Table 4. GF- PPZ-40 exhibi",10.1038/s41467-023-40394-8,Non-flammable solvent-free liquid polymer electrolyte for lithium metal batterie
