属性,数值,关联材料,条件,原文片段,段落来源,DOI,标题
Ionic_Conductivity,mS/cm,,,"For KBF4 and KClO4 salts, the poor solubility 0.05 M in typical aprotic solvents lead to the low con","For mathrmKBF4 and mathrmKClO4 salts, the poor solubility 0.05mathrmM in typical aprotic solvents lead to the low conductivity of the electrolyte, limiting their potential in potassium based batteries",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Voltage_Hysteresis,25.0 mV,,,3.9 M KFSI/DME realized the smallest polarization of 25 mV,"For mathrmKBF4 and mathrmKClO4 salts, the poor solubility 0.05mathrmM in typical aprotic solvents lead to the low conductivity of the electrolyte, limiting their potential in potassium based batteries",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Anodic_Stability_Onset_Potential,4.0 V vs. K/K⁺,,,low concentration KFSI based electrolytes exhibit Al corrosion at potential of approx 4.0 V versus K,"For mathrmKBF4 and mathrmKClO4 salts, the poor solubility 0.05mathrmM in typical aprotic solvents lead to the low conductivity of the electrolyte, limiting their potential in potassium based batteries",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
SEI_Resistance,Ω,,,KFSI/DME electrolyte could significantly improve the electrochemical performance of such kinds of el,"For mathrmKBF4 and mathrmKClO4 salts, the poor solubility 0.05mathrmM in typical aprotic solvents lead to the low conductivity of the electrolyte, limiting their potential in potassium based batteries",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Capacity_Retention,74 %,,moderate-concentration KFSI in TMP | cycling | half_cell,74% capacity retention over 2000 cycles,Phosphorus-based organic solvents are often used as nonflammable additives to retard possible fire hazard in LIBs. Guo et al. made attempts to use TEP as single solvent in graphite/ mathrmK0.5mathrmMn,10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Rate_Capability,[{'capacity': 273}] mAh/g,,moderate-concentration KFSI in TMP | cycling | half_cell,graphite delivered 273 mAh g-1 initial capacity,Ji et al. first reported the mathrmK electrochemical intercalation behaviors into commercial graphite in 0.8mathrmM mathrmKPF6 based electrolytes.81b They proved potassium graphite intercalation compo,10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Rate_Capability,77.8 mAh/g,,moderate-concentration KFSI in TMP | cycling | half_cell,graphite showed superior rate performance 77.8 mAh g-1 at 10 A g-1,"To improve the cycle stability of graphite, two type of solvents are adopted. One kind of Solvents is stable enough and could be reversible co-intercalation into graphite. Or, another class of solvent",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Capacity_Retention,88.5 %,,moderate-concentration KFSI in TMP | cycling | half_cell,maintained 88.5% capacity retention after 100 cycles in PIBs,"To improve the cycle stability of graphite, two type of solvents are adopted. One kind of Solvents is stable enough and could be reversible co-intercalation into graphite. Or, another class of solvent",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Rate_Capability,[255] mAh/g,,moderate-concentration KFSI in TMP | cycling | half_cell,the graphite could deliver a stable cycle performance over 2000 cycles with reversible capacity of 2,"Lu et al. explored a high concentrated KFSI/EMC based electrolyte for graphite anode.118 Remarkably, when using KFSI based concentrated electrolyte, the graphite could deliver a stable cycle performan",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Coulombic_Efficiency,99 %,,moderate-concentration KFSI in TMP | cycling | half_cell,The coulombic efficiency of the battery with KFSI based concentrated electrolyte could increase to 9,"Lu et al. explored a high concentrated KFSI/EMC based electrolyte for graphite anode.118 Remarkably, when using KFSI based concentrated electrolyte, the graphite could deliver a stable cycle performan",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Coulombic_Efficiency,99.6 %,,moderate-concentration KFSI in TMP | cycling | half_cell,high average coulombic efficiency of 99.6%,"The effect of solvents on anode electrode performance has been widely explored. EC become indispensable ester solvent for a number of electrolyte properties. Meanwhile, the EC/PC-based electrolytes sh",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Ionic_Conductivity,4.8 mS/cm,,,KFSI-C3ClpyrrFSI mathrmC3Clpyrr N -methyl- N -propylpyrrolidinium with high ionic conductivity and w,"Currently, novel fire-retardant ionic liquids ILs have been developed for high performance PIBs. They exhibit excellent physical properties, such as KFSI-C3ClpyrrFSI mathrmC3Clpyrr N -methyl- N -propy",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Electrochemical_Stability_Window,{'max_V': 5.72} V,,,KFSI-C3ClpyrrFSI mathrmC3Clpyrr N -methyl- N -propylpyrrolidinium with high ionic conductivity and w,"Currently, novel fire-retardant ionic liquids ILs have been developed for high performance PIBs. They exhibit excellent physical properties, such as KFSI-C3ClpyrrFSI mathrmC3Clpyrr N -methyl- N -propy",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Energy_Density,{'gravimetric': 914} Wh/kg / Wh/L,,,potassium-sulfur K-S batteries has a theoretical energy density of 914 Wh kg -1,"Like Li, Na-sulfur batteries, potassium-sulfur K-S batteries has a theoretical energy density of 914 Wh kg -1 , much higher than the current commercial lithium-ion battery, which is a key motivation f",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Voltage_Hysteresis,0.5 V,,0.8 M KPF6 based electrolytes | galvanostatic charge/discharge,it experienced a large voltage polarization 0.5 V,"So far, PBAs have been widely used as cathodes for PIBs. They belong to metal hexacyanoferrates family with composition of mathrmAxmathrmMAmathrmMBmathrmCN6ycdot zmathrmH2mathrmO , where mathrmMA and ",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Coulombic_Efficiency,90 %,,moderate-concentration KFSI in TMP | cycling | half_cell,The 2 vol% FEC additive based electrolyte could improve the initial coulombic efficiency of K-MnHCFe,"Currently, there are no specific potassium ion electrolyte additives. Fluoroethylene carbonate FEC can improve the stability of solvent under high voltage, and at the same time, FEC can effectively im",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Capacity_Retention,62.9 %,,moderate-concentration KFSI in TMP | cycling | half_cell,the initial discharge capacity was as low as 523.5 mAh/g and reduced to 329.3 mAh/g over 50 cycles,"Chen et al. first designed rechargeable K-S batteries using ordered mesoporous carbon CMK-3/sulfur composites as the cathode in TEGDME based electrolyte Figure 12A,B.135a The S cathode showed a slopin",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Capacity_Retention,%,,0.8 M KPF6 based electrolytes | galvanostatic charge/discharge,"After 50 continuous cycles, the discharge capacity remained at approx 600 mAh/g","Chen et al. first designed rechargeable K-S batteries using ordered mesoporous carbon CMK-3/sulfur composites as the cathode in TEGDME based electrolyte Figure 12A,B.135a The S cathode showed a slopin",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Cycle_Life_80,40 cycles,,moderate-concentration KFSI in TMP | cycling | half_cell,"the polymeric K+ membrane Nafion-K was applied as K-O2 battery separator, which improved the cycle l","In addition, the facile one-electron redox process of mathrmK mathrmO2 eleftrightarrow mathrmKO2 solves the major challenges in mathrmLi - O2 batteries. The thermodynamically and kinetically stable ma",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Cycle_Life_80,60 cycles,,0.8 M KPF6 based electrolytes | galvanostatic charge/discharge,K-O2 batteries showed significantly improved cycling stability over 60 cycles,"In addition, the facile one-electron redox process of mathrmK mathrmO2 eleftrightarrow mathrmKO2 solves the major challenges in mathrmLi - O2 batteries. The thermodynamically and kinetically stable ma",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
SEI_Thickness,500 μm,,moderate-concentration KFSI in TMP | cycling | half_cell,the surface layer formed in KTFSI-based electrolyte 2-3 μm was much thinner than that of in KPF6 ele,"In addition, the facile one-electron redox process of mathrmK mathrmO2 eleftrightarrow mathrmKO2 solves the major challenges in mathrmLi - O2 batteries. The thermodynamically and kinetically stable ma",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
SEI_Thickness,2-3 μm,,0.8 M KPF6 based electrolytes | galvanostatic charge/discharge,the surface layer formed in KTFSI-based electrolyte 2-3 μm was much thinner than that of in KPF6 ele,"In addition, the facile one-electron redox process of mathrmK mathrmO2 eleftrightarrow mathrmKO2 solves the major challenges in mathrmLi - O2 batteries. The thermodynamically and kinetically stable ma",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
