属性,出现频次,覆盖文件数,总文件数,覆盖率(%)
Elemental_Composition,35,35,77,45.5
Rate_Capability_at_Given_C_rate,32,32,77,41.6
Capacity_Retention_at_Nth_Cycle,30,30,77,39.0
Chemical_Formula,26,26,77,33.8
First_Lithiation_Capacity,23,23,77,29.9
Symmetric_Cell_Cycling_Stability,23,23,77,29.9
Initial_Coulombic_Efficiency,21,21,77,27.3
Average_Coulombic_Efficiency_Stable_Cycling,20,20,77,26.0
Areal_Capacity,18,18,77,23.4
Plateau_Overpotential,18,18,77,23.4
Interfacial_Resistance_RSEI_or_Rct,18,18,77,23.4
Capacity_Retention,17,17,77,22.1
SEI_Chemical_Composition_XPS,16,16,77,20.8
Li_Nucleation_Overpotential,16,16,77,20.8
Rate_Capability,15,15,77,19.5
Coulombic_Efficiency,15,15,77,19.5
Interlayer_Spacing,14,14,77,18.2
Discharge_Specific_Capacity_Initial,14,14,77,18.2
Charge_Transfer_Resistance,14,14,77,18.2
Voltage_Hysteresis,13,13,77,16.9
Crystal_System,13,13,77,16.9
Capacity_Retention_Ratio,12,12,77,15.6
Ionic_Conductivity,11,11,77,14.3
Anodic_Stability_Onset_Potential,11,11,77,14.3
Chemical_Composition_Mole_Fractions,11,11,77,14.3
Rate_Capability_Profile,10,10,77,13.0
Chemical_Diffusion_Coefficient_of_Li_GITT,9,9,77,11.7
Ion_Diffusion_Coefficient,9,9,77,11.7
Electrochemical_Stability_Window,7,7,77,9.1
Rate_Recovery_Percent,7,7,77,9.1
Lattice_Parameters,7,7,77,9.1
Gravimetric_Energy_Density,7,7,77,9.1
Exchange_Current_Density,7,7,77,9.1
Secondary_Particle_Size_Distribution,7,7,77,9.1
Energy_Density,6,6,77,7.8
Theoretical_Specific_Capacity,6,6,77,7.8
Element_Valence_State,6,6,77,7.8
Crystal_Space_Group,6,6,77,7.8
Energy_Density_Full_Cell,6,6,77,7.8
Pseudocapacitive_Contribution_Ratio,6,6,77,7.8
SEI_Resistance,5,5,77,6.5
Cycle_Life_80,5,5,77,6.5
Li_Desolvation_Activation_Energy,5,5,77,6.5
Crystallite_Size,5,5,77,6.5
Band_Gap,5,5,77,6.5
Li_Solvent_Binding_Energy,5,5,77,6.5
Cycle_Life_80_Percent_Capacity_Retention,5,5,77,6.5
HOMO_LUMO_Energy,5,5,77,6.5
CEI_Thickness,5,5,77,6.5
Inorganic_Organic_Ratio_SEI_CEI,5,5,77,6.5
LiF_Content_in_SEI_CEI,5,5,77,6.5
Space_Group,4,4,77,5.2
Li_Ion_Migration_Barrier,4,4,77,5.2
Primary_Particle_Size_Distribution,4,4,77,5.2
Ionic_Conductivity_of_SEI,4,4,77,5.2
Phase_Transition_Voltage,4,4,77,5.2
Li_Anion_Coordination_Number_MD,4,4,77,5.2
Viscosity,4,4,77,5.2
SEI_Thickness,3,3,77,3.9
Nominal_Discharge_Voltage,3,3,77,3.9
Interlayer_Spacing_of_TM_Layers,3,3,77,3.9
Melting_Point,3,3,77,3.9
Li_Solvent_Coordination_Number_MD,3,3,77,3.9
Open_Circuit_Voltage,3,3,77,3.9
Li_Transport_Activation_Energy_SEI,2,2,77,2.6
Unit_Cell_Volume_Change,2,2,77,2.6
Average_Operating_Voltage_vs_Li_Li,2,2,77,2.6
Average_Discharge_Voltage,2,2,77,2.6
Irreversible_Capacity_Loss_First_Cycle,2,2,77,2.6
Transition_Metal_Dissolution_Concentration,2,2,77,2.6
Thermal_Runaway_Onset_Temperature,2,2,77,2.6
Surface_Spinel_Layer_Thickness,2,2,77,2.6
LiF_Content_in_SEI_XPS,2,2,77,2.6
Charge_Discharge_Voltage_Gap,2,2,77,2.6
Contact_Angle,2,2,77,2.6
LixPOyFz,2,2,77,2.6
Li_Anion_Binding_Energy,2,2,77,2.6
Rate_Performance,2,2,77,2.6
CIP_AGG_Fraction,2,2,77,2.6
Density,2,2,77,2.6
Volumetric_Energy_Density,2,2,77,2.6
Lithium_Ion_Diffusion_Activation_Energy,2,2,77,2.6
Oxygen_Vacancy_Concentration,2,2,77,2.6
Activation_Energy_for_Li_Transport_through_SEI,2,2,77,2.6
Dielectric_Constant,2,2,77,2.6
Interface_Roughness,2,2,77,2.6
Maximum_Thermal_Runaway_Temperature,2,2,77,2.6
Self_Heating_Onset_Temperature,2,2,77,2.6
Li_Ni_mixing_ratio,1,1,77,1.3
XPS_C_O_Peak,1,1,77,1.3
Volume_Change_Ratio,1,1,77,1.3
Boiling_Point,1,1,77,1.3
S_N_Content_in_SEI,1,1,77,1.3
Activation_Energy_for_Li_Desolvation,1,1,77,1.3
XPS_ROCO2Li_Peak,1,1,77,1.3
Electronic_Conductivity_Bulk,1,1,77,1.3
Surface_Diffusion_Controlled_Contribution,1,1,77,1.3
Electrode_Pore_Size_Distribution,1,1,77,1.3
O2_CO2_Evolution,1,1,77,1.3
Oxygen_Vacancy_Formation_Energy,1,1,77,1.3
a_c_axis_expansion,1,1,77,1.3
CEI_Resistance,1,1,77,1.3
Li_Transport_Activation_Energy_CEI,1,1,77,1.3
Li2O_Content_in_SEI,1,1,77,1.3
